FID,compriment_via,largura_via,velocid_limite,fluxo_carros,velocid_carros
703,101.65,2,50,502.75,41.25
704,100.56,2,50,786,38
705,100.56,2,50,786,38
706,100.56,2,50,786,38
707,100.56,2,50,786,38
708,127.92,2,50,280.5,22
709,127.92,2,50,280.5,22
710,104.51,3,50,273,22.5
711,104.51,3,50,273,22.5
712,47.01,4,50,565.6666666666666,34.666666666666664
713,47.01,4,50,565.6666666666666,34.666666666666664
714,47.01,4,50,565.6666666666666,34.666666666666664
715,47.26,4,50,565.6666666666666,34.666666666666664
716,47.26,4,50,565.6666666666666,34.666666666666664
717,47.26,4,50,565.6666666666666,34.666666666666664
718,47.26,4,50,565.6666666666666,34.666666666666664
719,47.26,4,50,565.6666666666666,34.666666666666664
720,47.26,4,50,565.6666666666666,34.666666666666664
721,68.23,2,50,138,54
722,68.23,2,50,138,54
723,81.28,1,50,461.5,47.75
724,81.28,1,50,461.5,47.75
725,81.28,1,50,461.5,47.75
726,81.28,1,50,461.5,47.75
727,25.7,2,50,470,21.5
728,25.7,2,50,470,21.5
729,179.42,2,30,318.5,43.5
730,179.42,2,30,318.5,43.5
731,75.47,2,50,260.3333333333333,35
732,75.47,2,50,260.3333333333333,35
733,75.47,2,50,260.3333333333333,35
734,26.84,2,50,470,21.5
735,26.84,2,50,470,21.5
736,35.61,2,50,273,22.5
737,35.61,2,50,273,22.5
738,125.49,2,50,1135,27
739,125.49,2,50,1135,27
740,42.6,2,30,288,25
741,42.6,2,30,288,25
742,42.6,2,30,288,25
743,90.83,3,30,467.5,34.5
744,90.83,3,30,467.5,34.5
745,225.06,2,50,219,8
746,225.06,2,50,219,8
747,151.63,3,50,488.5,45.5
748,151.63,3,50,488.5,45.5
749,77.3,2,50,397.5,13
750,77.3,2,50,397.5,13
751,75.59,2,50,397.5,13
752,75.59,2,50,397.5,13
753,111.17,3,50,223,49
754,111.17,3,50,223,49
755,111.17,3,50,223,49
756,86.94,2,50,436.5,37
757,86.94,2,50,436.5,37
758,213.33,2,50,382.5,47
759,213.33,2,50,382.5,47
760,16.3,3,50,343.5,45.75
761,16.3,3,50,343.5,45.75
762,16.3,3,50,343.5,45.75
763,16.3,3,50,343.5,45.75
764,130.8,3,50,343.5,45.75
765,130.8,3,50,343.5,45.75
766,130.8,3,50,343.5,45.75
767,130.8,3,50,343.5,45.75
768,224.09,2,50,343.5,45.75
769,224.09,2,50,343.5,45.75
770,224.09,2,50,343.5,45.75
771,224.09,2,50,343.5,45.75
772,13.34,2,50,343.5,45.75
773,13.34,2,50,343.5,45.75
774,13.34,2,50,343.5,45.75
