station,date,Latitude,Longitude,airT,ur
Felipe camarao,2025-03-01 02:00:00,-5.82232,-35.26118,24.4,94.7
IF Central,2025-03-01 02:00:00,-5.81187,-35.20221,24.8,96.6
IFZN,2025-03-01 02:00:00,-5.74779,-35.26025,25.1,89.3
Lagoa Azul,2025-03-01 02:00:00,-5.72888,-35.2489,24.6,NA
Parnamirim,2025-03-01 02:00:00,-5.93898,-35.266639,24.1,NA
Ponta Negra,2025-03-01 02:00:00,-5.87605,-35.17857,25,95.4
Oceanografia,2025-03-01 02:00:00,-5.79524,-35.18359,25.4,89.2
Alecrim,2025-03-01 03:00:00,-5.79807,-35.21727,25.4,88.7
DIM,2025-03-01 03:00:00,-5.87995,-35.29499,23.8,NA
EAJ,2025-03-01 03:00:00,-5.88395,-35.36455,23.7,99.3
Extremoz,2025-03-01 03:00:00,-5.66732,-35.29729,23.8,NA
Felipe camarao,2025-03-01 03:00:00,-5.82232,-35.26118,24,94.6
IF Central,2025-03-01 03:00:00,-5.81187,-35.20221,24.7,95.6
IFZN,2025-03-01 03:00:00,-5.74779,-35.26025,24.7,88.4
Lagoa Azul,2025-03-01 03:00:00,-5.72888,-35.2489,24.6,NA
Parnamirim,2025-03-01 03:00:00,-5.93898,-35.266639,24.2,NA
Ponta Negra,2025-03-01 03:00:00,-5.87605,-35.17857,23.9,93.9
Oceanografia,2025-03-01 03:00:00,-5.79524,-35.18359,25.9,88.5
Alecrim,2025-03-01 04:00:00,-5.79807,-35.21727,25.3,90.7
DIM,2025-03-01 04:00:00,-5.87995,-35.29499,23.6,NA
EAJ,2025-03-01 04:00:00,-5.88395,-35.36455,24,99.5
Extremoz,2025-03-01 04:00:00,-5.66732,-35.29729,23.7,NA
Felipe camarao,2025-03-01 04:00:00,-5.82232,-35.26118,23.9,95.7
IF Central,2025-03-01 04:00:00,-5.81187,-35.20221,25.1,97.6
IFZN,2025-03-01 04:00:00,-5.74779,-35.26025,24.9,86.6
Lagoa Azul,2025-03-01 04:00:00,-5.72888,-35.2489,24.1,NA
Parnamirim,2025-03-01 04:00:00,-5.93898,-35.266639,23.9,NA
Ponta Negra,2025-03-01 04:00:00,-5.87605,-35.17857,25.8,90.4
Oceanografia,2025-03-01 04:00:00,-5.79524,-35.18359,27.1,86.5
Alecrim,2025-03-01 05:00:00,-5.79807,-35.21727,25.2,91.1
DIM,2025-03-01 05:00:00,-5.87995,-35.29499,23.5,NA
EAJ,2025-03-01 05:00:00,-5.88395,-35.36455,23.5,99.5
Extremoz,2025-03-01 05:00:00,-5.66732,-35.29729,23.5,NA
Felipe camarao,2025-03-01 05:00:00,-5.82232,-35.26118,24.1,95.8
IF Central,2025-03-01 05:00:00,-5.81187,-35.20221,25.6,95.3
IFZN,2025-03-01 05:00:00,-5.74779,-35.26025,24.6,87.8
Lagoa Azul,2025-03-01 05:00:00,-5.72888,-35.2489,24,NA
Parnamirim,2025-03-01 05:00:00,-5.93898,-35.266639,23.9,NA
Ponta Negra,2025-03-01 05:00:00,-5.87605,-35.17857,26,89.6
Oceanografia,2025-03-01 05:00:00,-5.79524,-35.18359,27,86.9
Alecrim,2025-03-01 06:00:00,-5.79807,-35.21727,25.5,91
DIM,2025-03-01 06:00:00,-5.87995,-35.29499,23.9,NA
EAJ,2025-03-01 06:00:00,-5.88395,-35.36455,23.8,99.7
Extremoz,2025-03-01 06:00:00,-5.66732,-35.29729,23.8,NA
Felipe camarao,2025-03-01 06:00:00,-5.82232,-35.26118,24.4,96.2
IF Central,2025-03-01 06:00:00,-5.81187,-35.20221,25.6,94.2
IFZN,2025-03-01 06:00:00,-5.74779,-35.26025,24.7,88.4
Lagoa Azul,2025-03-01 06:00:00,-5.72888,-35.2489,24.4,NA
Parnamirim,2025-03-01 06:00:00,-5.93898,-35.266639,24.2,NA
Ponta Negra,2025-03-01 06:00:00,-5.87605,-35.17857,25,93.1
Oceanografia,2025-03-01 06:00:00,-5.79524,-35.18359,27.6,82.6
Alecrim,2025-03-01 07:00:00,-5.79807,-35.21727,25.6,90.4
DIM,2025-03-01 07:00:00,-5.87995,-35.29499,24.6,NA
EAJ,2025-03-01 07:00:00,-5.88395,-35.36455,25,97.9
Extremoz,2025-03-01 07:00:00,-5.66732,-35.29729,24.2,NA
Felipe camarao,2025-03-01 07:00:00,-5.82232,-35.26118,24.7,95.7
IF Central,2025-03-01 07:00:00,-5.81187,-35.20221,25.5,94.2
IFZN,2025-03-01 07:00:00,-5.74779,-35.26025,25,88.4
Lagoa Azul,2025-03-01 07:00:00,-5.72888,-35.2489,25.3,NA
Parnamirim,2025-03-01 07:00:00,-5.93898,-35.266639,25,NA
Ponta Negra,2025-03-01 07:00:00,-5.87605,-35.17857,26.2,87.8
Oceanografia,2025-03-01 07:00:00,-5.79524,-35.18359,25.8,84.5
Alecrim,2025-03-01 08:00:00,-5.79807,-35.21727,29.4,72.5
DIM,2025-03-01 08:00:00,-5.87995,-35.29499,27.2,NA
EAJ,2025-03-01 08:00:00,-5.88395,-35.36455,26.3,92.6
Extremoz,2025-03-01 08:00:00,-5.66732,-35.29729,25.9,NA
Felipe camarao,2025-03-01 08:00:00,-5.82232,-35.26118,26.5,91
IF Central,2025-03-01 08:00:00,-5.81187,-35.20221,28.3,85
IFZN,2025-03-01 08:00:00,-5.74779,-35.26025,28.7,82.5
Lagoa Azul,2025-03-01 08:00:00,-5.72888,-35.2489,28.9,NA
