station,date,Latitude,Longitude,airT,ur
Ponta Negra,2025-03-09 19:00:00,-5.87605,-35.17857,27.2,NA
Oceanografia,2025-03-09 19:00:00,-5.79524,-35.18359,28.5,85.7
Alecrim,2025-03-09 20:00:00,-5.79807,-35.21727,26.5,91
DIM,2025-03-09 20:00:00,-5.87995,-35.29499,25.4,NA
EAJ,2025-03-09 20:00:00,-5.88395,-35.36455,24.9,93.9
Extremoz,2025-03-09 20:00:00,-5.66732,-35.29729,25.4,NA
Felipe camarao,2025-03-09 20:00:00,-5.82232,-35.26118,26.2,91.7
IF Central,2025-03-09 20:00:00,-5.81187,-35.20221,26.1,97.2
IFZN,2025-03-09 20:00:00,-5.74779,-35.26025,26.5,85.6
Lagoa Azul,2025-03-09 20:00:00,-5.72888,-35.2489,26,NA
Parnamirim,2025-03-09 20:00:00,-5.93898,-35.266639,25.4,NA
Ponta Negra,2025-03-09 20:00:00,-5.87605,-35.17857,26.5,NA
Oceanografia,2025-03-09 20:00:00,-5.79524,-35.18359,27.5,92.4
Alecrim,2025-03-09 21:00:00,-5.79807,-35.21727,25,93.6
DIM,2025-03-09 21:00:00,-5.87995,-35.29499,25.3,NA
EAJ,2025-03-09 21:00:00,-5.88395,-35.36455,24.8,97.6
Extremoz,2025-03-09 21:00:00,-5.66732,-35.29729,24,NA
Felipe camarao,2025-03-09 21:00:00,-5.82232,-35.26118,25,94.6
IF Central,2025-03-09 21:00:00,-5.81187,-35.20221,24.8,97.7
IFZN,2025-03-09 21:00:00,-5.74779,-35.26025,25,92
Lagoa Azul,2025-03-09 21:00:00,-5.72888,-35.2489,24.3,NA
Parnamirim,2025-03-09 21:00:00,-5.93898,-35.266639,25.7,NA
Ponta Negra,2025-03-09 21:00:00,-5.87605,-35.17857,24.4,NA
Oceanografia,2025-03-09 21:00:00,-5.79524,-35.18359,27.3,93.2
Alecrim,2025-03-09 22:00:00,-5.79807,-35.21727,25.3,95.3
DIM,2025-03-09 22:00:00,-5.87995,-35.29499,25.1,NA
EAJ,2025-03-09 22:00:00,-5.88395,-35.36455,24.9,98.3
Extremoz,2025-03-09 22:00:00,-5.66732,-35.29729,24.4,NA
Felipe camarao,2025-03-09 22:00:00,-5.82232,-35.26118,25.1,96.4
IF Central,2025-03-09 22:00:00,-5.81187,-35.20221,25.5,99.3
IFZN,2025-03-09 22:00:00,-5.74779,-35.26025,25.1,92.2
Lagoa Azul,2025-03-09 22:00:00,-5.72888,-35.2489,24.4,NA
Parnamirim,2025-03-09 22:00:00,-5.93898,-35.266639,25.6,NA
Ponta Negra,2025-03-09 22:00:00,-5.87605,-35.17857,25.9,NA
Oceanografia,2025-03-09 22:00:00,-5.79524,-35.18359,28.7,93.5
Alecrim,2025-03-09 23:00:00,-5.79807,-35.21727,24.8,93
DIM,2025-03-09 23:00:00,-5.87995,-35.29499,24.2,NA
EAJ,2025-03-09 23:00:00,-5.88395,-35.36455,24.4,98.3
Extremoz,2025-03-09 23:00:00,-5.66732,-35.29729,24.3,NA
Felipe camarao,2025-03-09 23:00:00,-5.82232,-35.26118,25.1,96.1
IF Central,2025-03-09 23:00:00,-5.81187,-35.20221,24.7,98.3
IFZN,2025-03-09 23:00:00,-5.74779,-35.26025,25.6,92.2
Lagoa Azul,2025-03-09 23:00:00,-5.72888,-35.2489,24.8,NA
Parnamirim,2025-03-09 23:00:00,-5.93898,-35.266639,24.6,NA
Ponta Negra,2025-03-09 23:00:00,-5.87605,-35.17857,24.9,NA
Oceanografia,2025-03-09 23:00:00,-5.79524,-35.18359,28,92.4
Alecrim,2025-03-10 00:00:00,-5.79807,-35.21727,25.5,94.3
DIM,2025-03-10 00:00:00,-5.87995,-35.29499,24.2,NA
EAJ,2025-03-10 00:00:00,-5.88395,-35.36455,23.9,99.1
Extremoz,2025-03-10 00:00:00,-5.66732,-35.29729,24.2,NA
Felipe camarao,2025-03-10 00:00:00,-5.82232,-35.26118,25.1,96.5
IF Central,2025-03-10 00:00:00,-5.81187,-35.20221,25.4,99.2
IFZN,2025-03-10 00:00:00,-5.74779,-35.26025,25.3,91.2
Lagoa Azul,2025-03-10 00:00:00,-5.72888,-35.2489,24.6,NA
Parnamirim,2025-03-10 00:00:00,-5.93898,-35.266639,24.9,NA
Ponta Negra,2025-03-10 00:00:00,-5.87605,-35.17857,25.5,NA
Oceanografia,2025-03-10 00:00:00,-5.79524,-35.18359,28.8,93.3
Alecrim,2025-03-10 01:00:00,-5.79807,-35.21727,25.3,94.3
DIM,2025-03-10 01:00:00,-5.87995,-35.29499,24.1,NA
EAJ,2025-03-10 01:00:00,-5.88395,-35.36455,24.1,99.3
Extremoz,2025-03-10 01:00:00,-5.66732,-35.29729,24.3,NA
Felipe camarao,2025-03-10 01:00:00,-5.82232,-35.26118,25.2,96.5
IF Central,2025-03-10 01:00:00,-5.81187,-35.20221,25.3,99.2
IFZN,2025-03-10 01:00:00,-5.74779,-35.26025,25.4,90.6
Lagoa Azul,2025-03-10 01:00:00,-5.72888,-35.2489,24.5,NA
Parnamirim,2025-03-10 01:00:00,-5.93898,-35.266639,24.6,NA
Ponta Negra,2025-03-10 01:00:00,-5.87605,-35.17857,25.4,NA
Oceanografia,2025-03-10 01:00:00,-5.79524,-35.18359,28.2,94
Alecrim,2025-03-10 02:00:00,-5.79807,-35.21727,25.2,93.8
DIM,2025-03-10 02:00:00,-5.87995,-35.29499,23.6,NA
EAJ,2025-03-10 02:00:00,-5.88395,-35.36455,23.9,99.4
Extremoz,2025-03-10 02:00:00,-5.66732,-35.29729,23.9,NA
Felipe camarao,2025-03-10 02:00:00,-5.82232,-35.26118,24.9,96.2
IF Central,2025-03-10 02:00:00,-5.81187,-35.20221,25.1,99.2
IFZN,2025-03-10 02:00:00,-5.74779,-35.26025,25.1,90.4
Lagoa Azul,2025-03-10 02:00:00,-5.72888,-35.2489,24.4,NA
Parnamirim,2025-03-10 02:00:00,-5.93898,-35.266639,24.3,NA
Ponta Negra,2025-03-10 02:00:00,-5.87605,-35.17857,24.9,NA
Oceanografia,2025-03-10 02:00:00,-5.79524,-35.18359,28.3,92.8
Alecrim,2025-03-10 03:00:00,-5.79807,-35.21727,25,94.2
DIM,2025-03-10 03:00:00,-5.87995,-35.29499,24.1,NA
EAJ,2025-03-10 03:00:00,-5.88395,-35.36455,23.6,99.5
Extremoz,2025-03-10 03:00:00,-5.66732,-35.29729,23.8,NA
Felipe camarao,2025-03-10 03:00:00,-5.82232,-35.26118,24.8,96.2
IF Central,2025-03-10 03:00:00,-5.81187,-35.20221,25,99.7
IFZN,2025-03-10 03:00:00,-5.74779,-35.26025,24.7,90.8
Lagoa Azul,2025-03-10 03:00:00,-5.72888,-35.2489,24.2,NA
Parnamirim,2025-03-10 03:00:00,-5.93898,-35.266639,24.4,NA
Ponta Negra,2025-03-10 03:00:00,-5.87605,-35.17857,24.7,NA
Oceanografia,2025-03-10 03:00:00,-5.79524,-35.18359,27.7,94.1
Alecrim,2025-03-10 04:00:00,-5.79807,-35.21727,25,94.3
DIM,2025-03-10 04:00:00,-5.87995,-35.29499,24.2,NA
EAJ,2025-03-10 04:00:00,-5.88395,-35.36455,23.7,99.7
Extremoz,2025-03-10 04:00:00,-5.66732,-35.29729,23.8,NA
Felipe camarao,2025-03-10 04:00:00,-5.82232,-35.26118,24.7,96.7
IF Central,2025-03-10 04:00:00,-5.81187,-35.20221,24.7,99.6
IFZN,2025-03-10 04:00:00,-5.74779,-35.26025,24.8,91.3
Lagoa Azul,2025-03-10 04:00:00,-5.72888,-35.2489,24.3,NA
Parnamirim,2025-03-10 04:00:00,-5.93898,-35.266639,24.4,NA
Ponta Negra,2025-03-10 04:00:00,-5.87605,-35.17857,24.5,NA
Oceanografia,2025-03-10 04:00:00,-5.79524,-35.18359,27.1,94.8
Alecrim,2025-03-10 05:00:00,-5.79807,-35.21727,25,92.8
DIM,2025-03-10 05:00:00,-5.87995,-35.29499,24.1,NA
EAJ,2025-03-10 05:00:00,-5.88395,-35.36455,23.5,99.7
Extremoz,2025-03-10 05:00:00,-5.66732,-35.29729,23.8,NA
Felipe camarao,2025-03-10 05:00:00,-5.82232,-35.26118,24.8,96.5
IF Central,2025-03-10 05:00:00,-5.81187,-35.20221,24.7,99.7
IFZN,2025-03-10 05:00:00,-5.74779,-35.26025,24.7,90.9
Lagoa Azul,2025-03-10 05:00:00,-5.72888,-35.2489,24,NA
Parnamirim,2025-03-10 05:00:00,-5.93898,-35.266639,24.4,NA
Ponta Negra,2025-03-10 05:00:00,-5.87605,-35.17857,24.5,NA
Oceanografia,2025-03-10 05:00:00,-5.79524,-35.18359,26.8,94.9
Alecrim,2025-03-10 06:00:00,-5.79807,-35.21727,25,92.8
DIM,2025-03-10 06:00:00,-5.87995,-35.29499,23.9,NA
EAJ,2025-03-10 06:00:00,-5.88395,-35.36455,23.9,99.9
Extremoz,2025-03-10 06:00:00,-5.66732,-35.29729,24,NA
Felipe camarao,2025-03-10 06:00:00,-5.82232,-35.26118,24.5,95.8
IF Central,2025-03-10 06:00:00,-5.81187,-35.20221,24.7,99.4
IFZN,2025-03-10 06:00:00,-5.74779,-35.26025,24.7,91
Lagoa Azul,2025-03-10 06:00:00,-5.72888,-35.2489,24.3,NA
Parnamirim,2025-03-10 06:00:00,-5.93898,-35.266639,24.4,NA
Ponta Negra,2025-03-10 06:00:00,-5.87605,-35.17857,24.1,NA
Oceanografia,2025-03-10 06:00:00,-5.79524,-35.18359,26.5,94.6
Alecrim,2025-03-10 07:00:00,-5.79807,-35.21727,25.7,90.3
DIM,2025-03-10 07:00:00,-5.87995,-35.29499,24.9,NA
EAJ,2025-03-10 07:00:00,-5.88395,-35.36455,25,99.6
Extremoz,2025-03-10 07:00:00,-5.66732,-35.29729,24.8,NA
Felipe camarao,2025-03-10 07:00:00,-5.82232,-35.26118,25.2,95.9
IF Central,2025-03-10 07:00:00,-5.81187,-35.20221,25.4,97.9
IFZN,2025-03-10 07:00:00,-5.74779,-35.26025,25,89.8
Lagoa Azul,2025-03-10 07:00:00,-5.72888,-35.2489,24.9,NA
Parnamirim,2025-03-10 07:00:00,-5.93898,-35.266639,26.3,NA
Ponta Negra,2025-03-10 07:00:00,-5.87605,-35.17857,24.8,NA
Oceanografia,2025-03-10 07:00:00,-5.79524,-35.18359,28.2,93
Alecrim,2025-03-10 08:00:00,-5.79807,-35.21727,29.1,78.2
DIM,2025-03-10 08:00:00,-5.87995,-35.29499,27.6,NA
EAJ,2025-03-10 08:00:00,-5.88395,-35.36455,28.2,88.2
Extremoz,2025-03-10 08:00:00,-5.66732,-35.29729,27.3,NA
Felipe camarao,2025-03-10 08:00:00,-5.82232,-35.26118,28,88.4
IF Central,2025-03-10 08:00:00,-5.81187,-35.20221,27.5,90.8
IFZN,2025-03-10 08:00:00,-5.74779,-35.26025,28.2,80.8
Lagoa Azul,2025-03-10 08:00:00,-5.72888,-35.2489,27.7,NA
Parnamirim,2025-03-10 08:00:00,-5.93898,-35.266639,28.2,NA
Ponta Negra,2025-03-10 08:00:00,-5.87605,-35.17857,26.6,NA
Oceanografia,2025-03-10 08:00:00,-5.79524,-35.18359,30.2,84.6
Alecrim,2025-03-10 09:00:00,-5.79807,-35.21727,31.4,69.7
DIM,2025-03-10 09:00:00,-5.87995,-35.29499,30.1,NA
EAJ,2025-03-10 09:00:00,-5.88395,-35.36455,33.6,68.4
Extremoz,2025-03-10 09:00:00,-5.66732,-35.29729,27.9,NA
Felipe camarao,2025-03-10 09:00:00,-5.82232,-35.26118,29.1,82.7
IF Central,2025-03-10 09:00:00,-5.81187,-35.20221,29.3,83
IFZN,2025-03-10 09:00:00,-5.74779,-35.26025,30.6,74.3
Lagoa Azul,2025-03-10 09:00:00,-5.72888,-35.2489,29.6,NA
Parnamirim,2025-03-10 09:00:00,-5.93898,-35.266639,29.8,NA
Ponta Negra,2025-03-10 09:00:00,-5.87605,-35.17857,27.9,NA
Oceanografia,2025-03-10 09:00:00,-5.79524,-35.18359,32.2,75
Alecrim,2025-03-10 10:00:00,-5.79807,-35.21727,30.1,71.8
DIM,2025-03-10 10:00:00,-5.87995,-35.29499,31.7,NA
EAJ,2025-03-10 10:00:00,-5.88395,-35.36455,35.5,64.7
Extremoz,2025-03-10 10:00:00,-5.66732,-35.29729,31.2,NA
Felipe camarao,2025-03-10 10:00:00,-5.82232,-35.26118,29.8,76
IF Central,2025-03-10 10:00:00,-5.81187,-35.20221,30.1,79.8
IFZN,2025-03-10 10:00:00,-5.74779,-35.26025,29.4,73.6
Lagoa Azul,2025-03-10 10:00:00,-5.72888,-35.2489,30.3,NA
Parnamirim,2025-03-10 10:00:00,-5.93898,-35.266639,32.6,NA
Ponta Negra,2025-03-10 10:00:00,-5.87605,-35.17857,30,NA
Oceanografia,2025-03-10 10:00:00,-5.79524,-35.18359,32.4,72.5
Alecrim,2025-03-10 11:00:00,-5.79807,-35.21727,31.7,65.8
DIM,2025-03-10 11:00:00,-5.87995,-35.29499,35.1,NA
EAJ,2025-03-10 11:00:00,-5.88395,-35.36455,32.7,70.8
Extremoz,2025-03-10 11:00:00,-5.66732,-35.29729,31.8,NA
Felipe camarao,2025-03-10 11:00:00,-5.82232,-35.26118,31,71.8
IF Central,2025-03-10 11:00:00,-5.81187,-35.20221,33.1,72.2
IFZN,2025-03-10 11:00:00,-5.74779,-35.26025,31.7,65.7
Lagoa Azul,2025-03-10 11:00:00,-5.72888,-35.2489,32.4,NA
Parnamirim,2025-03-10 11:00:00,-5.93898,-35.266639,34.3,NA
Ponta Negra,2025-03-10 11:00:00,-5.87605,-35.17857,31.7,NA
Oceanografia,2025-03-10 11:00:00,-5.79524,-35.18359,33.8,64.1
Alecrim,2025-03-10 12:00:00,-5.79807,-35.21727,30.9,67.8
DIM,2025-03-10 12:00:00,-5.87995,-35.29499,34,NA
EAJ,2025-03-10 12:00:00,-5.88395,-35.36455,36.6,56.7
Extremoz,2025-03-10 12:00:00,-5.66732,-35.29729,33.2,NA
Felipe camarao,2025-03-10 12:00:00,-5.82232,-35.26118,32.7,60
IF Central,2025-03-10 12:00:00,-5.81187,-35.20221,33.6,66.2
IFZN,2025-03-10 12:00:00,-5.74779,-35.26025,32,68.4
Lagoa Azul,2025-03-10 12:00:00,-5.72888,-35.2489,33.3,NA
Parnamirim,2025-03-10 12:00:00,-5.93898,-35.266639,34.6,NA
Ponta Negra,2025-03-10 12:00:00,-5.87605,-35.17857,31,NA
Oceanografia,2025-03-10 12:00:00,-5.79524,-35.18359,35.2,60.1
Alecrim,2025-03-10 13:00:00,-5.79807,-35.21727,30.8,68.7
DIM,2025-03-10 13:00:00,-5.87995,-35.29499,36,NA
EAJ,2025-03-10 13:00:00,-5.88395,-35.36455,38.4,55.5
Extremoz,2025-03-10 13:00:00,-5.66732,-35.29729,34.4,NA
Felipe camarao,2025-03-10 13:00:00,-5.82232,-35.26118,33.1,58.3
IF Central,2025-03-10 13:00:00,-5.81187,-35.20221,33.8,65.8
IFZN,2025-03-10 13:00:00,-5.74779,-35.26025,32.6,64.1
Lagoa Azul,2025-03-10 13:00:00,-5.72888,-35.2489,34,NA
Parnamirim,2025-03-10 13:00:00,-5.93898,-35.266639,35.1,NA
Ponta Negra,2025-03-10 13:00:00,-5.87605,-35.17857,29.8,NA
Oceanografia,2025-03-10 13:00:00,-5.79524,-35.18359,35.1,55.1
Alecrim,2025-03-10 14:00:00,-5.79807,-35.21727,31.4,67.8
DIM,2025-03-10 14:00:00,-5.87995,-35.29499,37.9,NA
EAJ,2025-03-10 14:00:00,-5.88395,-35.36455,40.3,54
Extremoz,2025-03-10 14:00:00,-5.66732,-35.29729,33.5,NA
Felipe camarao,2025-03-10 14:00:00,-5.82232,-35.26118,32.7,58.4
IF Central,2025-03-10 14:00:00,-5.81187,-35.20221,32.8,68
IFZN,2025-03-10 14:00:00,-5.74779,-35.26025,32.9,64.3
Lagoa Azul,2025-03-10 14:00:00,-5.72888,-35.2489,35.1,NA
Parnamirim,2025-03-10 14:00:00,-5.93898,-35.266639,35.2,NA
Ponta Negra,2025-03-10 14:00:00,-5.87605,-35.17857,30.4,NA
Oceanografia,2025-03-10 14:00:00,-5.79524,-35.18359,35.3,54.6
Alecrim,2025-03-10 15:00:00,-5.79807,-35.21727,30.6,69.8
DIM,2025-03-10 15:00:00,-5.87995,-35.29499,37,NA
EAJ,2025-03-10 15:00:00,-5.88395,-35.36455,38.7,53.8
Extremoz,2025-03-10 15:00:00,-5.66732,-35.29729,31.5,NA
Felipe camarao,2025-03-10 15:00:00,-5.82232,-35.26118,31.4,64.2
IF Central,2025-03-10 15:00:00,-5.81187,-35.20221,32.4,71.6
IFZN,2025-03-10 15:00:00,-5.74779,-35.26025,31.4,68.9
Lagoa Azul,2025-03-10 15:00:00,-5.72888,-35.2489,32.7,NA
Parnamirim,2025-03-10 15:00:00,-5.93898,-35.266639,33.7,NA
Ponta Negra,2025-03-10 15:00:00,-5.87605,-35.17857,29.5,NA
Oceanografia,2025-03-10 15:00:00,-5.79524,-35.18359,35.5,49.4
Alecrim,2025-03-10 16:00:00,-5.79807,-35.21727,30.2,71.6
DIM,2025-03-10 16:00:00,-5.87995,-35.29499,34.7,NA
EAJ,2025-03-10 16:00:00,-5.88395,-35.36455,34.9,61.7
Extremoz,2025-03-10 16:00:00,-5.66732,-35.29729,29.8,NA
Felipe camarao,2025-03-10 16:00:00,-5.82232,-35.26118,30.9,66.9
IF Central,2025-03-10 16:00:00,-5.81187,-35.20221,31.8,72.6
IFZN,2025-03-10 16:00:00,-5.74779,-35.26025,30.3,73.5
Lagoa Azul,2025-03-10 16:00:00,-5.72888,-35.2489,30.3,NA
Parnamirim,2025-03-10 16:00:00,-5.93898,-35.266639,31.2,NA
Ponta Negra,2025-03-10 16:00:00,-5.87605,-35.17857,29.8,NA
Oceanografia,2025-03-10 16:00:00,-5.79524,-35.18359,32.2,63.7
Alecrim,2025-03-10 17:00:00,-5.79807,-35.21727,29.2,73.7
DIM,2025-03-10 17:00:00,-5.87995,-35.29499,29.6,NA
EAJ,2025-03-10 17:00:00,-5.88395,-35.36455,29.3,73.7
Extremoz,2025-03-10 17:00:00,-5.66732,-35.29729,28.6,NA
Felipe camarao,2025-03-10 17:00:00,-5.82232,-35.26118,29.4,72.6
IF Central,2025-03-10 17:00:00,-5.81187,-35.20221,29.5,78.9
IFZN,2025-03-10 17:00:00,-5.74779,-35.26025,29.2,72.2
Lagoa Azul,2025-03-10 17:00:00,-5.72888,-35.2489,29.1,NA
Parnamirim,2025-03-10 17:00:00,-5.93898,-35.266639,29.4,NA
Ponta Negra,2025-03-10 17:00:00,-5.87605,-35.17857,28.7,NA
Oceanografia,2025-03-10 17:00:00,-5.79524,-35.18359,29.9,72.1
Alecrim,2025-03-10 18:00:00,-5.79807,-35.21727,28.1,77.3
DIM,2025-03-10 18:00:00,-5.87995,-35.29499,27.4,NA
EAJ,2025-03-10 18:00:00,-5.88395,-35.36455,26.8,83.5
Extremoz,2025-03-10 18:00:00,-5.66732,-35.29729,27.2,NA
Felipe camarao,2025-03-10 18:00:00,-5.82232,-35.26118,28.2,75.1
IF Central,2025-03-10 18:00:00,-5.81187,-35.20221,28,82.6
IFZN,2025-03-10 18:00:00,-5.74779,-35.26025,28.2,75
Lagoa Azul,2025-03-10 18:00:00,-5.72888,-35.2489,27.7,NA
Parnamirim,2025-03-10 18:00:00,-5.93898,-35.266639,27.5,NA
Ponta Negra,2025-03-10 18:00:00,-5.87605,-35.17857,28,NA
Oceanografia,2025-03-10 18:00:00,-5.79524,-35.18359,28.8,82
Alecrim,2025-03-10 19:00:00,-5.79807,-35.21727,27.9,79.9
DIM,2025-03-10 19:00:00,-5.87995,-35.29499,26.7,NA
EAJ,2025-03-10 19:00:00,-5.88395,-35.36455,25.2,90.7
Extremoz,2025-03-10 19:00:00,-5.66732,-35.29729,26.8,NA
Felipe camarao,2025-03-10 19:00:00,-5.82232,-35.26118,27.9,78
IF Central,2025-03-10 19:00:00,-5.81187,-35.20221,27.7,86.5
IFZN,2025-03-10 19:00:00,-5.74779,-35.26025,28,75.9
Lagoa Azul,2025-03-10 19:00:00,-5.72888,-35.2489,27.5,NA
Parnamirim,2025-03-10 19:00:00,-5.93898,-35.266639,26.6,NA
Ponta Negra,2025-03-10 19:00:00,-5.87605,-35.17857,27.7,NA
Oceanografia,2025-03-10 19:00:00,-5.79524,-35.18359,28.8,83.6
Alecrim,2025-03-10 20:00:00,-5.79807,-35.21727,27.8,79
DIM,2025-03-10 20:00:00,-5.87995,-35.29499,26.4,NA
EAJ,2025-03-10 20:00:00,-5.88395,-35.36455,24.7,93.5
Extremoz,2025-03-10 20:00:00,-5.66732,-35.29729,26.6,NA
Felipe camarao,2025-03-10 20:00:00,-5.82232,-35.26118,27.7,80.6
IF Central,2025-03-10 20:00:00,-5.81187,-35.20221,27.7,84.6
IFZN,2025-03-10 20:00:00,-5.74779,-35.26025,27.9,76.8
Lagoa Azul,2025-03-10 20:00:00,-5.72888,-35.2489,27.4,NA
Parnamirim,2025-03-10 20:00:00,-5.93898,-35.266639,26.5,NA
Ponta Negra,2025-03-10 20:00:00,-5.87605,-35.17857,27.7,NA
Oceanografia,2025-03-10 20:00:00,-5.79524,-35.18359,28.8,81.1
Alecrim,2025-03-10 21:00:00,-5.79807,-35.21727,28,79.8
DIM,2025-03-10 21:00:00,-5.87995,-35.29499,26.5,NA
EAJ,2025-03-10 21:00:00,-5.88395,-35.36455,24.6,95.1
Extremoz,2025-03-10 21:00:00,-5.66732,-35.29729,26.5,NA
Felipe camarao,2025-03-10 21:00:00,-5.82232,-35.26118,27.6,79.8
IF Central,2025-03-10 21:00:00,-5.81187,-35.20221,27.9,84.9
IFZN,2025-03-10 21:00:00,-5.74779,-35.26025,27.9,77.4
Lagoa Azul,2025-03-10 21:00:00,-5.72888,-35.2489,27.4,NA
Parnamirim,2025-03-10 21:00:00,-5.93898,-35.266639,26.7,NA
Ponta Negra,2025-03-10 21:00:00,-5.87605,-35.17857,27.7,NA
Oceanografia,2025-03-10 21:00:00,-5.79524,-35.18359,29.2,82.8
Alecrim,2025-03-10 22:00:00,-5.79807,-35.21727,27.9,80.4
DIM,2025-03-10 22:00:00,-5.87995,-35.29499,26.4,NA
EAJ,2025-03-10 22:00:00,-5.88395,-35.36455,24.5,96.8
Extremoz,2025-03-10 22:00:00,-5.66732,-35.29729,26.6,NA
Felipe camarao,2025-03-10 22:00:00,-5.82232,-35.26118,27.3,79.9
IF Central,2025-03-10 22:00:00,-5.81187,-35.20221,27.8,84.2
IFZN,2025-03-10 22:00:00,-5.74779,-35.26025,27.9,76.2
Lagoa Azul,2025-03-10 22:00:00,-5.72888,-35.2489,27.5,NA
Parnamirim,2025-03-10 22:00:00,-5.93898,-35.266639,26.5,NA
Ponta Negra,2025-03-10 22:00:00,-5.87605,-35.17857,27.7,NA
Oceanografia,2025-03-10 22:00:00,-5.79524,-35.18359,29.3,82.3
Alecrim,2025-03-10 23:00:00,-5.79807,-35.21727,27.7,79.6
DIM,2025-03-10 23:00:00,-5.87995,-35.29499,26.3,NA
EAJ,2025-03-10 23:00:00,-5.88395,-35.36455,24.5,96.4
Extremoz,2025-03-10 23:00:00,-5.66732,-35.29729,26.4,NA
Felipe camarao,2025-03-10 23:00:00,-5.82232,-35.26118,27.2,80.2
IF Central,2025-03-10 23:00:00,-5.81187,-35.20221,27.7,85.4
IFZN,2025-03-10 23:00:00,-5.74779,-35.26025,27.6,76
Lagoa Azul,2025-03-10 23:00:00,-5.72888,-35.2489,27.3,NA
Parnamirim,2025-03-10 23:00:00,-5.93898,-35.266639,26.4,NA
Ponta Negra,2025-03-10 23:00:00,-5.87605,-35.17857,27.6,NA
Oceanografia,2025-03-10 23:00:00,-5.79524,-35.18359,29.1,82
Alecrim,2025-03-11 00:00:00,-5.79807,-35.21727,27.6,78.1
DIM,2025-03-11 00:00:00,-5.87995,-35.29499,25.7,NA
EAJ,2025-03-11 00:00:00,-5.88395,-35.36455,24.1,97.1
Extremoz,2025-03-11 00:00:00,-5.66732,-35.29729,26.4,NA
Felipe camarao,2025-03-11 00:00:00,-5.82232,-35.26118,27,80.3
IF Central,2025-03-11 00:00:00,-5.81187,-35.20221,27.5,83.3
IFZN,2025-03-11 00:00:00,-5.74779,-35.26025,27.6,75.9
Lagoa Azul,2025-03-11 00:00:00,-5.72888,-35.2489,27.3,NA
Parnamirim,2025-03-11 00:00:00,-5.93898,-35.266639,25.6,NA
Ponta Negra,2025-03-11 00:00:00,-5.87605,-35.17857,27.5,NA
Oceanografia,2025-03-11 00:00:00,-5.79524,-35.18359,28.8,79.1
Alecrim,2025-03-11 01:00:00,-5.79807,-35.21727,27.4,78.9
DIM,2025-03-11 01:00:00,-5.87995,-35.29499,24.9,NA
EAJ,2025-03-11 01:00:00,-5.88395,-35.36455,23.7,97.8
Extremoz,2025-03-11 01:00:00,-5.66732,-35.29729,26.1,NA
Felipe camarao,2025-03-11 01:00:00,-5.82232,-35.26118,26.5,81.2
IF Central,2025-03-11 01:00:00,-5.81187,-35.20221,27.3,83.8
IFZN,2025-03-11 01:00:00,-5.74779,-35.26025,27.4,76.4
Lagoa Azul,2025-03-11 01:00:00,-5.72888,-35.2489,27.1,NA
Parnamirim,2025-03-11 01:00:00,-5.93898,-35.266639,24.8,NA
Ponta Negra,2025-03-11 01:00:00,-5.87605,-35.17857,27.4,NA
Oceanografia,2025-03-11 01:00:00,-5.79524,-35.18359,28.7,79.1
Alecrim,2025-03-11 02:00:00,-5.79807,-35.21727,27.3,78.7
DIM,2025-03-11 02:00:00,-5.87995,-35.29499,24.4,NA
EAJ,2025-03-11 02:00:00,-5.88395,-35.36455,22.9,98.6
Extremoz,2025-03-11 02:00:00,-5.66732,-35.29729,25.8,NA
Felipe camarao,2025-03-11 02:00:00,-5.82232,-35.26118,25.5,87.1
IF Central,2025-03-11 02:00:00,-5.81187,-35.20221,27.2,83.1
IFZN,2025-03-11 02:00:00,-5.74779,-35.26025,27.2,76.7
Lagoa Azul,2025-03-11 02:00:00,-5.72888,-35.2489,26.9,NA
Parnamirim,2025-03-11 02:00:00,-5.93898,-35.266639,24.2,NA
Ponta Negra,2025-03-11 02:00:00,-5.87605,-35.17857,27.2,NA
Oceanografia,2025-03-11 02:00:00,-5.79524,-35.18359,28.7,81.8
Alecrim,2025-03-11 03:00:00,-5.79807,-35.21727,26.5,81.9
DIM,2025-03-11 03:00:00,-5.87995,-35.29499,23.9,NA
EAJ,2025-03-11 03:00:00,-5.88395,-35.36455,22.3,99
Extremoz,2025-03-11 03:00:00,-5.66732,-35.29729,24.8,NA
Felipe camarao,2025-03-11 03:00:00,-5.82232,-35.26118,25.1,88.9
IF Central,2025-03-11 03:00:00,-5.81187,-35.20221,26.6,86.9
IFZN,2025-03-11 03:00:00,-5.74779,-35.26025,25.8,83.3
Lagoa Azul,2025-03-11 03:00:00,-5.72888,-35.2489,25.8,NA
Parnamirim,2025-03-11 03:00:00,-5.93898,-35.266639,23.4,NA
Ponta Negra,2025-03-11 03:00:00,-5.87605,-35.17857,25.9,NA
Oceanografia,2025-03-11 03:00:00,-5.79524,-35.18359,28.5,79.7
Alecrim,2025-03-11 04:00:00,-5.79807,-35.21727,26.1,83.1
DIM,2025-03-11 04:00:00,-5.87995,-35.29499,23.6,NA
EAJ,2025-03-11 04:00:00,-5.88395,-35.36455,22,99.2
Extremoz,2025-03-11 04:00:00,-5.66732,-35.29729,24.4,NA
Felipe camarao,2025-03-11 04:00:00,-5.82232,-35.26118,24.8,89.1
IF Central,2025-03-11 04:00:00,-5.81187,-35.20221,25.9,89.5
IFZN,2025-03-11 04:00:00,-5.74779,-35.26025,25.4,83.9
