date,station,airT,Longitude,Latitude
2014-10-12T12:00:00Z,PAR,23,-37.05311,-10.88105
2014-10-12T13:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-12T14:00:00Z,PAR,25.4,-37.05311,-10.88105
2014-10-12T15:00:00Z,PAR,26.9,-37.05311,-10.88105
2014-10-12T16:00:00Z,PAR,27.1,-37.05311,-10.88105
2014-10-12T17:00:00Z,PAR,26.5,-37.05311,-10.88105
2014-10-12T18:00:00Z,PAR,26.4,-37.05311,-10.88105
2014-10-12T19:00:00Z,PAR,26.9,-37.05311,-10.88105
2014-10-12T20:00:00Z,PAR,26.4,-37.05311,-10.88105
2014-10-12T21:00:00Z,PAR,26,-37.05311,-10.88105
2014-10-12T22:00:00Z,PAR,25.5,-37.05311,-10.88105
2014-10-12T23:00:00Z,PAR,25,-37.05311,-10.88105
2014-10-13T00:00:00Z,PAR,24.8,-37.05311,-10.88105
2014-10-13T01:00:00Z,PAR,24.5,-37.05311,-10.88105
2014-10-13T02:00:00Z,PAR,24.5,-37.05311,-10.88105
2014-10-13T03:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-13T04:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-13T05:00:00Z,PAR,24.2,-37.05311,-10.88105
2014-10-13T06:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-13T07:00:00Z,PAR,24.2,-37.05311,-10.88105
2014-10-13T08:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-13T09:00:00Z,PAR,23.9,-37.05311,-10.88105
2014-10-13T10:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-13T11:00:00Z,PAR,23.9,-37.05311,-10.88105
2014-10-13T12:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-13T13:00:00Z,PAR,26,-37.05311,-10.88105
2014-10-13T14:00:00Z,PAR,26.2,-37.05311,-10.88105
2014-10-13T15:00:00Z,PAR,27,-37.05311,-10.88105
2014-10-13T16:00:00Z,PAR,27.6,-37.05311,-10.88105
2014-10-13T17:00:00Z,PAR,26.5,-37.05311,-10.88105
2014-10-13T18:00:00Z,PAR,27.3,-37.05311,-10.88105
2014-10-13T19:00:00Z,PAR,27.4,-37.05311,-10.88105
2014-10-13T20:00:00Z,PAR,26.6,-37.05311,-10.88105
2014-10-13T21:00:00Z,PAR,25.9,-37.05311,-10.88105
2014-10-13T22:00:00Z,PAR,25.6,-37.05311,-10.88105
2014-10-13T23:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-14T00:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-14T01:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-14T02:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-14T03:00:00Z,PAR,24.2,-37.05311,-10.88105
2014-10-14T04:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-14T05:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-14T06:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-14T07:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-14T08:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-14T09:00:00Z,PAR,23.7,-37.05311,-10.88105
2014-10-14T10:00:00Z,PAR,23.7,-37.05311,-10.88105
2014-10-14T11:00:00Z,PAR,23.5,-37.05311,-10.88105
2014-10-14T12:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-14T13:00:00Z,PAR,25.2,-37.05311,-10.88105
2014-10-14T14:00:00Z,PAR,26.5,-37.05311,-10.88105
2014-10-14T15:00:00Z,PAR,26.6,-37.05311,-10.88105
2014-10-14T16:00:00Z,PAR,27,-37.05311,-10.88105
2014-10-14T17:00:00Z,PAR,28.2,-37.05311,-10.88105
2014-10-14T18:00:00Z,PAR,28.1,-37.05311,-10.88105
2014-10-14T19:00:00Z,PAR,27.3,-37.05311,-10.88105
2014-10-14T20:00:00Z,PAR,26.6,-37.05311,-10.88105
2014-10-14T21:00:00Z,PAR,26.1,-37.05311,-10.88105
2014-10-14T22:00:00Z,PAR,25.5,-37.05311,-10.88105
2014-10-14T23:00:00Z,PAR,24.9,-37.05311,-10.88105
2014-10-15T00:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-15T01:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-15T02:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-15T03:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-15T04:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-15T05:00:00Z,PAR,24.2,-37.05311,-10.88105
